City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
264,Porvoo,FI,60.3923,25.6651,33.53,93,2,6.91,clear sky
265,Alibag,IN,18.6411,72.8792,82.47,60,21,2.8,few clouds
266,Keith,GB,57.5363,-2.9481,41.13,76,0,15.82,clear sky
267,Chinsali,ZM,-10.5414,32.0816,63.86,95,100,5.77,overcast clouds
268,Ucluelet,CA,48.9329,-125.5528,44.1,85,44,1.99,scattered clouds
269,Constitucion,CL,-35.3333,-72.4167,58.21,53,100,8.95,overcast clouds
270,Nelson Bay,AU,-32.7167,152.15,77.09,61,22,4.0,few clouds
271,Luau,AO,-10.7073,22.2247,62.44,98,86,3.29,overcast clouds
272,Hamilton,US,39.1834,-84.5333,42.76,92,100,10.36,light rain
273,Manaure,CO,11.7751,-72.4445,78.24,77,82,16.2,broken clouds
274,Salmas,IR,38.1973,44.7653,30.85,95,92,4.56,light snow
275,Aspindza,GE,41.5739,43.2483,22.44,94,100,3.15,overcast clouds
276,Ahipara,NZ,-35.1667,173.1667,67.44,94,99,16.6,light rain
277,Jiazi,CN,22.8779,116.067,70.02,79,100,16.28,overcast clouds
278,Souillac,MU,-20.5167,57.5167,75.58,94,40,3.44,scattered clouds
279,Vwawa,TZ,-9.1167,32.9333,57.9,96,100,3.49,overcast clouds
280,Hasaki,JP,35.7333,140.8333,55.8,54,99,5.44,overcast clouds
281,San Lorenzo,PY,-25.3333,-57.5333,67.59,72,0,7.0,clear sky
282,Lang Suan,TH,9.9456,99.0785,85.78,65,100,5.53,overcast clouds
283,Svetlyy,RU,54.675,20.1347,32.97,71,2,5.77,clear sky
284,Lufilufi,WS,-13.8745,-171.5986,91.18,68,72,17.9,broken clouds
285,Geraldton,AU,-28.7667,114.6,81.01,57,76,18.41,broken clouds
286,Los Llanos De Aridane,ES,28.6585,-17.9182,55.15,76,20,7.0,few clouds
287,Anadyr,RU,64.75,177.4833,9.1,72,40,6.71,scattered clouds
288,Spirit River,CA,55.7833,-118.8361,36.03,94,92,3.04,overcast clouds
289,Zhigansk,RU,66.7697,123.3711,7.48,90,100,27.96,overcast clouds
290,Doha,QA,25.2867,51.5333,62.58,59,0,6.91,clear sky
291,Saint-Augustin,CA,51.226,-58.6502,7.83,94,95,4.68,overcast clouds
292,Filadelfia,US,39.9523,-75.1638,59.7,93,40,0.0,scattered clouds
293,Okha,RU,53.5739,142.9478,20.55,88,100,19.1,overcast clouds
294,Beira,MZ,-19.8436,34.8389,75.29,83,75,10.36,broken clouds
295,Gloversville,US,43.0528,-74.3438,51.91,94,75,8.05,broken clouds
296,Narsaq,GL,60.9167,-46.05,14.22,79,30,5.57,scattered clouds
297,Oranjestad,AW,12.524,-70.027,78.75,78,20,18.41,few clouds
298,Lorengau,PG,-2.0226,147.2712,86.59,62,55,9.06,broken clouds
299,Aripuana,BR,-9.1667,-60.6333,72.16,99,64,0.47,broken clouds
300,Wenling,CN,28.3669,121.36,53.94,88,100,6.29,overcast clouds
301,Monterey,US,36.2505,-121.2516,45.07,90,87,6.35,overcast clouds
302,Maraa,BR,-1.8333,-65.3667,73.04,100,100,1.68,overcast clouds
303,Abnub,EG,27.2696,31.1511,50.22,61,95,9.98,overcast clouds
304,Gimli,CA,50.6336,-96.9907,35.62,69,100,3.44,overcast clouds
305,Ternate,ID,0.8,127.4,83.25,72,92,0.69,overcast clouds
306,Puerto Escondido,MX,15.85,-97.0667,79.63,83,40,3.44,scattered clouds
307,Pyapon,MM,16.2833,95.6833,91.65,36,80,6.08,broken clouds
308,Portoferraio,IT,42.8115,10.3146,50.16,71,100,5.19,overcast clouds
309,Chingirlau,KZ,51.095,54.0814,1.94,100,100,4.0,overcast clouds
310,Padang,ID,-0.9492,100.3543,84.25,64,97,5.12,moderate rain
311,Poum,NC,-20.2333,164.0167,79.54,82,100,15.73,overcast clouds
312,Knyaze-Volkonskoye,RU,48.4642,135.4567,30.54,84,99,4.41,overcast clouds
313,Sawakin,SD,19.1059,37.3321,72.32,74,96,9.35,overcast clouds
314,Bonthe,SL,7.5264,-12.505,74.86,88,83,3.24,moderate rain
315,Laje,BR,-10.1833,-40.9667,67.64,79,0,3.02,clear sky
316,Bam,IR,29.106,58.357,64.45,12,0,1.92,clear sky
317,Namatanai,PG,-3.6667,152.4333,85.89,59,35,8.84,scattered clouds
318,Ouro Preto Do Oeste,BR,-10.7481,-62.2158,72.5,96,100,1.43,overcast clouds
319,Clyde River,CA,70.4692,-68.5914,-28.97,68,0,4.61,clear sky
320,Limbe,CM,4.0242,9.2149,79.74,83,62,6.02,broken clouds
321,Esperance,AU,-33.8667,121.9,73.24,58,99,8.1,overcast clouds
322,Dingle,PH,10.9995,122.6711,90.16,56,98,13.13,overcast clouds
323,Along,IN,28.1667,94.7667,87.48,27,78,1.77,broken clouds
324,Romhany,HU,47.9262,19.2572,37.35,61,0,4.61,clear sky
325,Gao,ML,16.6362,1.637,79.59,18,3,9.48,clear sky
326,Davydivka,UA,48.121,25.5646,25.43,67,0,3.58,clear sky
327,Acarau,BR,-2.8856,-40.12,77.61,82,38,5.32,scattered clouds
328,Nanortalik,GL,60.1432,-45.2371,13.69,88,80,9.13,broken clouds
329,Manicore,BR,-5.8092,-61.3003,73.56,98,100,2.21,overcast clouds
330,College,US,64.8569,-147.8028,21.58,62,75,5.75,broken clouds
331,Pevek,RU,69.7008,170.3133,0.5,76,24,13.49,few clouds
332,Gazanjyk,TM,39.2446,55.5154,42.28,44,100,17.58,overcast clouds
333,Rokupr,SL,8.6717,-12.395,72.81,79,78,2.62,broken clouds
334,Yoichi,JP,43.2039,140.7703,35.24,71,100,16.35,light snow
335,Ilhabela,BR,-23.7781,-45.3581,75.96,92,100,4.23,moderate rain
336,Aitape,PG,-3.1374,142.3475,86.61,64,84,7.96,broken clouds
337,Sorong,ID,-0.8833,131.25,84.18,73,92,8.75,overcast clouds
338,Krasnoarmeysk,RU,51.0239,45.6969,11.73,98,72,8.75,broken clouds
339,Tenosique,MX,17.4833,-91.4333,72.37,97,30,6.08,scattered clouds
340,Savannah Bight,HN,16.45,-85.85,80.85,82,100,22.62,overcast clouds
341,Dzilam Gonzalez,MX,21.2833,-88.9333,75.33,81,53,5.46,broken clouds
342,Tiarei,PF,-17.5333,-149.3333,86.02,74,10,16.82,light rain
343,Northport,US,33.229,-87.5772,49.82,74,0,0.0,clear sky
344,Esil,KZ,51.9556,66.4042,0.84,95,37,6.53,scattered clouds
345,Lumsden,CA,50.6501,-104.8678,34.75,87,100,8.23,overcast clouds
